iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z,psi,theta,phi,psi_dot,theta_dot,phi_dot,T_psi,T_theta,T_phi
0.0,0.0,7000000.0,0.0,0.0,0.0,7545.946840144431,0.0,-8.134473387755103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1,6999999.9593276335,754.594684014443,0.0,-0.8134473387755101,7545.946840144431,0.0,-8.131843379142953,-0.0008766065458275687,0.0,0.0,0.0,0.0,0.5,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
2.0,0.2,6999999.837323682,1509.1893636458535,0.0,-1.6266316766898052,7545.946752483776,0.0,-8.129214693022579,-0.0017526463763739037,0.0,0.0,0.0,0.0,1.9750000000000003,0.0,0.0,19.5,0.0,0.0,9.5,0.0,0.0
3.0,0.30000000000000004,6999999.634014442,2263.7840301309993,0.0,-2.439553145992063,7545.946577219139,0.0,-8.126587328478049,-0.00262811993936107,0.0,0.0,0.0,0.0,4.326250000000001,0.0,0.0,27.525,0.0,0.0,8.025,0.0,0.0
4.0,0.4,6999999.34942619,3018.3786747123136,0.0,-3.252211878839868,7545.946314407145,0.0,-8.123961284594252,-0.003503027682083687,0.0,0.0,0.0,0.0,7.3624374999999995,0.0,0.0,33.19875,0.0,0.0,5.673749999999999,0.0,0.0
5.0,0.5,6999998.983585196,3772.9732886378897,0.0,-4.064608007299293,7545.945964104377,0.0,-8.121336560456879,-0.004377370051409406,0.0,0.0,0.0,0.0,10.814190624999998,0.0,0.0,35.8363125,0.0,0.0,2.6375625000000005,0.0,0.0
6.0,0.6000000000000001,6999998.536517712,4527.567863161477,0.0,-4.876741663344982,7545.945526367372,0.0,-8.118713155152415,-0.005251147493779392,0.0,0.0,0.0,0.0,14.357112343749998,0.0,0.0,35.022121874999996,0.0,0.0,-0.8141906249999984,0.0,0.0
7.0,0.7000000000000001,6999998.00824998,5282.162389542477,0.0,-5.688612978860223,7545.945001252622,0.0,-8.116091067768169,-0.0061243604552088165,0.0,0.0,0.0,0.0,17.641468914062493,0.0,0.0,30.66500953125,0.0,0.0,-4.357112343749998,0.0,0.0
8.0,0.8,6999997.398808227,6036.756859045938,0.0,-6.50022208563704,7545.944388816577,0.0,-8.113470297392238,-0.006997009381287333,0.0,0.0,0.0,0.0,20.325896421484376,0.0,0.0,23.023540617187507,0.0,0.0,-7.641468914062493,0.0,0.0
9.0,0.9,6999996.708218667,6791.351262942549,0.0,-7.311569115376264,7545.943689115639,0.0,-8.110850843113528,-0.007869094717179542,0.0,0.0,0.0,0.0,22.111955662128903,0.0,0.0,12.69764419570313,0.0,0.0,-10.325896421484376,0.0,0.0
10.0,1.0,6999995.936507501,7545.945592508639,0.0,-8.122654199687616,7545.942902206168,0.0,-8.108232704021743,-0.008740616907625502,0.0,0.0,0.0,0.0,22.77612229859277,0.0,0.0,0.5856885335742277,0.0,0.0,-12.111955662128903,0.0,0.0
11.0,1.1,6999995.083700918,8300.53983902617,0.0,-8.933477470089791,7545.942028144477,0.0,-8.105615879207392,-0.009611576396941187,0.0,0.0,0.0,0.0,22.195885037020552,0.0,0.0,-12.190433765018543,0.0,0.0,-12.776122298592771,0.0,0.0
12.0,1.2000000000000002,6999994.1498250915,9055.133993782736,0.0,-9.74403905801053,7545.9410669868375,0.0,-8.103000367761778,-0.010481973629018971,0.0,0.0,0.0,0.0,20.367047408667673,0.0,0.0,-24.386318802039096,0.0,0.0,-12.195885037020552,0.0,0.0
13.0,1.3,6999993.134906184,9809.728048071553,0.0,-10.554339094786709,7545.940018789474,0.0,-8.100386168777014,-0.011351809047328116,0.0,0.0,0.0,0.0,17.410063158030383,0.0,0.0,-34.753366210706766,0.0,0.0,-10.367047408667673,0.0,0.0
