iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3621020408163265e-24,0.0,0.0,0.0,0.0,0.0
1.0,0.1,6.810510204081632e-27,0.0,0.0,1.3621020408163265e-25,0.0,0.0,1.3621020408163265e-24,0.0,0.0,0.0,0.0,0.0
2.0,0.2,2.723983886671823e-26,7.339304636868458e-31,0.0,2.723763691710994e-25,1.467860927373692e-29,0.0,1.3616616508946673e-24,1.4678609273736918e-28,0.0,0.0,0.0,0.0
3.0,0.30000000000000004,6.128358319593682e-26,3.669177841474054e-30,0.0,4.084985174132725e-25,4.4026338282007244e-29,0.0,1.3612214824217312e-24,2.9347729008270323e-28,0.0,0.0,0.0,0.0
4.0,0.4,1.0893734261348482e-25,1.0272180004705815e-29,0.0,5.445766709376872e-25,8.803370498262797e-29,0.0,1.3607815352441474e-24,4.400736670062073e-28,0.0,0.0,0.0,0.0
5.0,0.5,1.7019671875329698e-25,2.2008426995001171e-29,0.0,6.806108518585555e-25,1.4669123482327912e-28,0.0,1.3603418092086824e-24,5.8657529840651155e-28,0.0,0.0,0.0,0.0
6.0,0.6000000000000001,2.450573154599637e-25,4.034246177288284e-29,0.0,8.166010822747792e-25,2.1998946073435422e-28,0.0,1.3599023041622368e-24,7.32982259110751e-28,0.0,0.0,0.0,0.0
7.0,0.7000000000000001,3.3351473878720083e-25,6.67378809656915e-29,0.0,9.525473842699636e-25,3.079189231218189e-28,0.0,1.3594630199518443e-24,8.79294623874647e-28,0.0,0.0,0.0,0.0
8.0,0.8,4.355645969963206e-25,1.0265733561478633e-28,0.0,1.0884497799124312e-24,4.104701698600777e-28,0.0,1.3590239564246765e-24,1.0255124673825881e-27,0.0,0.0,0.0,0.0
9.0,0.9,5.512025005547039e-25,1.4956253192203266e-28,0.0,1.224308291255235e-24,5.2763375628484885e-28,0.0,1.3585851134280371e-24,1.1716358642477114e-27,0.0,0.0,0.0,0.0
10.0,1.0,6.804240621342742e-25,2.0891423199557743e-28,0.0,1.3601229403361715e-24,6.5940024518604685e-28,0.0,1.358146490809365e-24,1.3176648890119795e-27,0.0,0.0,0.0,0.0
11.0,1.1,8.232248966099726e-25,2.821722545949134e-28,0.0,1.4958937491777949e-24,8.057602068006734e-28,0.0,1.3577080884162328e-24,1.4635996161462662e-27,0.0,0.0,0.0,0.0
12.0,1.2000000000000002,9.796006210582338e-25,3.707954758752329e-28,0.0,1.6316207397874296e-24,9.667042188057167e-28,0.0,1.3572699060963482e-24,1.609440120050433e-27,0.0,0.0,0.0,0.0
13.0,1.3,1.1495468547554646e-24,4.762418301310716e-28,0.0,1.767303934157185e-24,1.1422228663110578e-27,0.0,1.3568319436975516e-24,1.755186475053411e-27,0.0,0.0,0.0,0.0
14.0,1.4000000000000001,1.3330592191765222e-24,5.999683105392438e-28,0.0,1.9029433542639667e-24,1.332306741852386e-27,0.0,1.3563942010678188e-24,1.9008387554132812e-27,0.0,0.0,0.0,0.0
