iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3621020408163265e-24,0.0,0.0,0.0,0.0,0.0
1.0,31540.0,6.774902132530613e-16,0.0,0.0,4.296069836734694e-20,0.0,0.0,1.3621020408163265e-24,0.0,0.0,0.0,0.0,0.0
2.0,63080.0,2.0324689259555076e-15,1.0098705466119344e-22,0.0,4.2960589692415035e-20,6.4037447470636306e-27,0.0,-3.445622444719635e-30,2.0303566097221404e-31,0.0,0.0,0.0,0.0
3.0,94620.0,3.3874457238676606e-15,3.1084756461785404e-22,0.0,4.2960576947543926e-20,6.903833563441165e-27,0.0,-4.040859578439341e-31,1.585570121678928e-32,0.0,0.0,0.0,0.0
4.0,126160.0,4.742422247644145e-15,5.311771065130513e-22,0.0,4.2960572309049874e-20,7.067602194022199e-27,0.0,-1.4706702757159804e-31,5.192410608149475e-33,0.0,0.0,0.0,0.0
5.0,157700.0,6.097398660775248e-15,7.553499748287347e-22,0.0,4.296056993134982e-20,7.147544813947575e-27,0.0,-7.538681208651195e-32,2.5346423565432944e-33,0.0,0.0,0.0,0.0
6.0,189240.0,7.452375013667828e-15,9.815268914933848e-22,0.0,4.2960568489232314e-20,7.194681987869185e-27,0.0,-4.5723446519243896e-32,1.4945204160307609e-33,0.0,0.0,0.0,0.0
7.0,220780.0,8.807351328568801e-15,1.2089365252502168e-21,0.0,4.296056752224341e-20,7.225713304257132e-27,0.0,-3.0659128072913526e-32,9.838717941644596e-34,0.0,0.0,0.0,0.0
8.0,252320.0,1.0162327617289573e-14,1.4371817934772444e-21,0.0,4.2960566829105474e-20,7.24767085725381e-27,0.0,-2.1976472291213595e-32,6.961811349612643e-34,0.0,0.0,0.0,0.0
9.0,283860.0,1.1517303886862396e-14,1.6660311558400502e-21,0.0,4.2960566308042413e-20,7.264019844255752e-27,0.0,-1.65207057387007e-32,5.183572289772707e-34,0.0,0.0,0.0,0.0
