iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8539722222222222e-19,0.0,0.0,0.0,0.0,0.0
1.0,0.1,9.269861111111113e-22,0.0,0.0,1.853972222222222e-20,0.0,0.0,1.8539722222222222e-19,0.0,0.0,0.0,0.0,0.0
2.0,0.2,3.707135625195123e-21,8.259253494347541e-25,0.0,3.7063268059458014e-20,1.6518506988695084e-23,0.0,1.8523545837235797e-19,1.6518506988695083e-22,0.0,0.0,0.0,0.0
3.0,0.30000000000000004,8.338864989553321e-21,4.129756304266323e-24,0.0,5.557131922770595e-20,4.95581121079363e-23,0.0,1.8508051168247945e-19,3.3039605119241218e-22,0.0,0.0,0.0,0.0
4.0,0.4,1.4820658710888927e-20,1.1563854220056372e-23,0.0,7.406455519900616e-20,9.912384620786467e-23,0.0,1.84932359713002e-19,4.956573409992837e-22,0.0,0.0,0.0,0.0
5.0,0.5,2.3151069137765283e-20,2.4781205619740177e-23,0.0,9.254365333852094e-20,1.6522318178581142e-22,0.0,1.847909813951478e-19,6.609933557794677e-22,0.0,0.0,0.0,0.0
6.0,0.6000000000000001,3.3328716256731624e-20,4.5435666503783106e-23,0.0,1.1100928904080587e-19,2.478660358950471e-22,0.0,1.8465635702284947e-19,8.26428541092357e-22,0.0,0.0,0.0,0.0
7.0,0.7000000000000001,4.5352287502038786e-20,7.518220699981402e-23,0.0,1.2946213586533737e-19,3.470647740255711e-22,0.0,1.8452846824531497e-19,9.9198738130524e-22,0.0,0.0,0.0,0.0
8.0,0.8,5.922053757887376e-20,1.1567715644908657e-22,0.0,1.4790286567136214e-19,4.628342149598796e-22,0.0,1.8440729806024772e-19,1.1576944093430857e-21,0.0,0.0,0.0,0.0
9.0,0.9,7.493228830004857e-20,1.685784490274506e-22,0.0,1.6633214875213395e-19,5.951916366074009e-22,0.0,1.8429283080771814e-19,1.3235742164752124e-21,0.0,0.0,0.0,0.0
10.0,1.0,9.248642843608536e-20,2.355458699989226e-22,0.0,1.8475065396860202e-19,7.4415678282203895e-22,0.0,1.8418505216468073e-19,1.4896514621463803e-21,0.0,0.0,0.0,0.0
11.0,1.1,1.1188191357864625e-19,3.182413027004261e-22,0.0,2.0315904888261549e-19,9.097518712080308e-22,0.0,1.8408394914013465e-19,1.6559508838599182e-21,0.0,0.0,0.0,0.0
12.0,1.2000000000000002,1.3311776601726242e-19,4.183289763568319e-22,0.0,2.2155799988970785e-19,1.0920016019200853e-21,0.0,1.8398951007092372e-19,1.822497307120544e-21,0.0,0.0,0.0,0.0
13.0,1.3,1.5619307462932407e-19,5.374757148260636e-22,0.0,2.399481723515251e-19,1.2909331674645474e-21,0.0,1.839017246181727e-19,1.9893156554446222e-21,0.0,0.0,0.0,0.0
14.0,1.4000000000000001,1.8110699478329839e-19,6.773511863747468e-22,0.0,2.583302307279611e-19,1.5065762635091167e-21,0.0,1.8382058376435967e-19,2.1564309604456936e-21,0.0,0.0,0.0,0.0
15.0,1.5,2.078587482551496e-19,8.396281545856744e-22,0.0,2.767048387090632e-19,1.7389631007094353e-21,0.0,1.8374607981102101e-19,2.3238683720031843e-21,0.0,0.0,0.0,0.0
16.0,1.6,2.3644762315794137e-19,1.0259827304992296e-21,0.0,2.9507265934677217e-19,1.988128417561669e-21,0.0,1.836782063770895e-19,2.491653168522337e-21,0.0,0.0,0.0,0.0
17.0,1.7000000000000002,2.668729738846079e-19,1.238094626091864e-21,0.0,3.134343551865586e-19,2.2541094942910187e-21,0.0,1.8361695839786436e-19,2.6598107672934975e-21,0.0,0.0,0.0,0.0
18.0,1.8,2.9913422106388683e-19,1.4776474091957611e-21,0.0,3.3179058839902e-19,2.5369461677869214e-21,0.0,1.8356233212461406e-19,2.8283667349590286e-21,0.0,0.0,0.0,0.0
19.0,1.9000000000000001,3.3323085152941287e-19,1.7463287599649343e-21,0.0,3.5014202091150113e-19,2.8366808475965466e-21,0.0,1.8351432512481157e-19,2.9973467980962498e-21,0.0,0.0,0.0,0.0
20.0,2.0,3.6916241830197803e-19,2.0458307289942137e-21,0.0,3.684893145398017e-19,3.153358532989045e-21,0.0,1.834729362830056e-19,3.1667768539249845e-21,0.0,0.0,0.0,0.0
21.0,2.1,4.0692854058496984e-19,2.37784999719886e-21,0.0,3.868331311200343e-19,3.487026831103884e-21,0.0,1.8343816580232643e-19,3.3366829811483865e-21,0.0,0.0,0.0,0.0
22.0,2.2,4.465289037730064e-19,2.7440881375639283e-21,0.0,4.051741326406975e-19,3.8377359761974815e-21,0.0,1.83410015206632e-19,3.507091450935973e-21,0.0,0.0,0.0,0.0
23.0,2.3000000000000003,4.879632594737926e-19,3.1462518788739662e-21,0.0,4.23512981375027e-19,4.205538850003272e-21,0.0,1.833884873432952e-19,3.678028738057906e-21,0.0,0.0,0.0,0.0
24.0,2.4000000000000004,5.312314255432285e-19,3.586053371535192e-21,0.0,4.418503400136907e-19,4.590491003221252e-21,0.0,1.8337358638663683e-19,3.8495215321798044e-21,0.0,0.0,0.0,0.0
25.0,2.5,5.763332861338076e-19,4.065210455603955e-21,0.0,4.601868717978915e-19,4.992650678154008e-21,0.0,1.8336531784200861e-19,4.02159674932756e-21,0.0,0.0,0.0,0.0
26.0,2.6,6.232687917563494e-19,4.585446931137015e-21,0.0,4.785232406529445e-19,5.412078832507192e-21,0.0,1.8336368855052982e-19,4.194281543531837e-21,0.0,0.0,0.0,0.0
27.0,2.7,6.720379593551162e-19,5.148492830981046e-21,0.0,4.968601113223929e-19,5.848839164373413e-21,0.0,1.8336870669448439e-19,4.367603318662215e-21,0.0,0.0,0.0,0.0
28.0,2.8000000000000003,7.226408723963724e-19,5.756084696120693e-21,0.0,5.151981495027313e-19,6.302998138419527e-21,0.0,1.8338038180338368e-19,4.541589740461142e-21,0.0,0.0,0.0,0.0
29.0,2.9000000000000004,7.75077680970449e-19,6.409965853706586e-21,0.0,5.335380219788014e-19,6.7746250132983426e-21,0.0,1.8339872476070195e-19,4.7162687487881534e-21,0.0,0.0,0.0,0.0
30.0,3.0,8.293486019073856e-19,7.111886697886846e-21,0.0,5.518803967599305e-19,7.263791870306849e-21,0.0,1.8342374781129043e-19,4.891668570085058e-21,0.0,0.0,0.0,0.0
31.0,3.1,8.85453918906226e-19,7.863604973567897e-21,0.0,5.7022594321687855e-19,7.770573643314166e-21,0.0,1.834554645694803e-19,5.067817730073169e-21,0.0,0.0,0.0,0.0
32.0,3.2,9.433939826780532e-19,8.666886063232783e-21,0.0,5.885753322196666e-19,8.295048149983551e-21,0.0,1.8349389002788068e-19,5.244745066693858e-21,0.0,0.0,0.0,0.0
33.0,3.3000000000000003,1.0031692111028542e-18,9.52350327694766e-21,0.0,6.069292362763549e-19,8.837296124313962e-21,0.0,1.8353904056688215e-19,5.422479743304113e-21,0.0,0.0,0.0,0.0
34.0,3.4000000000000004,1.064780089400314e-18,1.0435238145689751e-20,0.0,6.2528832967284245e-19,9.397401250527875e-21,0.0,1.8359093396487547e-19,5.601051262139139e-21,0.0,0.0,0.0,0.0
35.0,3.5,1.1282271703146442e-18,1.140388071813281e-20,0.0,6.436532886137621e-19,9.97545019833331e-21,0.0,1.8364958940919581e-19,5.78048947805435e-21,0.0,0.0,0.0,0.0
36.0,3.6,1.1935110743135595e-18,1.2431229861028938e-20,0.0,6.620247913645425e-19,1.0571532659589257e-20,0.0,1.837150275078037e-19,5.96082461255947e-21,0.0,0.0,0.0,0.0
37.0,3.7,1.2606324898015222e-18,1.3519093563328654e-20,0.0,6.804035183947139e-19,1.1185741386405057e-20,0.0,1.8378727030171502e-19,6.142087268157999e-21,0.0,0.0,0.0,0.0
38.0,3.8000000000000003,1.3295921733473846e-18,1.4669289244184188e-20,0.0,6.987901525225333e-19,1.1818172230705613e-20,0.0,1.8386634127819297e-19,6.324308443005561e-21,0.0,0.0,0.0,0.0
39.0,3.9000000000000004,1.4003909499265614e-18,1.5883644064984256e-20,0.0,7.1718537906100475e-19,1.2468924185295727e-20,0.0,1.8395226538471445e-19,6.507519545901145e-21,0.0,0.0,0.0,0.0
40.0,4.0,1.4730297131778805e-18,1.7163995245571956e-20,0.0,7.355898859653774e-19,1.313809942645831e-20,0.0,1.8404506904372646e-19,6.691752411625828e-21,0.0,0.0,0.0,0.0
41.0,4.1000000000000005,1.5475094256752593e-18,1.8512190384801006e-20,0.0,7.540043639821981e-19,1.38258033581227e-20,0.0,1.8414478016820758e-19,6.877039316643901e-21,0.0,0.0,0.0,0.0
42.0,4.2,1.6238311192143693e-18,1.9930087785589185e-20,0.0,7.724295068000029e-19,1.4532144657640886e-20,0.0,1.8425142817804838e-19,7.063412995181879e-21,0.0,0.0,0.0,0.0
43.0,4.3,1.701995895114456e-18,2.1419556784631782e-20,0.0,7.9086601120173e-19,1.5257235323211042e-20,0.0,1.8436504401727084e-19,7.250906655701544e-21,0.0,0.0,0.0,0.0
44.0,4.4,1.7820049245354894e-18,2.2982478086941803e-20,0.0,8.093145772189403e-19,1.60011907229894e-20,0.0,1.8448566017210277e-19,7.43955399778358e-21,0.0,0.0,0.0,0.0
45.0,4.5,1.863859448810833e-18,2.4620744105387936e-20,0.0,8.277759082879328e-19,1.6764129645933294e-20,0.0,1.8461331068992453e-19,7.629389229438957e-21,0.0,0.0,0.0,0.0
46.0,4.6000000000000005,1.9475607797956217e-18,2.6336259305405595e-20,0.0,8.462507114078438e-19,1.75461743544199e-20,0.0,1.8474803119911062e-19,7.820447084866043e-21,0.0,0.0,0.0,0.0
47.0,4.7,2.033110300231055e-18,2.813094055506095e-20,0.0,8.647396973008223e-19,1.834745063868708e-20,0.0,1.8488985892978474e-19,8.012762842671829e-21,0.0,0.0,0.0,0.0
48.0,4.800000000000001,2.120509464124815e-18,3.000671748065254e-20,0.0,8.832435805743732e-19,1.916808787314473e-20,0.0,1.8503883273550966e-19,8.206372344576479e-21,0.0,0.0,0.0,0.0
