iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z,psi,theta,phi,psi_dot,theta_dot,phi_dot,T_psi,T_theta,T_phi
0.0,0.0,7000000.0,0.0,0.0,0.0,7545.946840144431,0.0,-8.134473387755103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1,6999999.9593276335,754.594684014443,0.0,-0.8134473387755101,7545.946840144431,0.0,-8.131843379142953,-0.0008766065458275687,0.0,0.0,0.0,0.0,4.5,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0
2.0,0.2,6999999.837323682,1509.1893636458535,0.0,-1.6266316766898052,7545.946752483776,0.0,-8.129214693022579,-0.0017526463763739037,0.0,0.0,0.0,0.0,17.325,0.0,0.0,166.5,0.0,0.0,76.5,0.0,0.0
3.0,0.30000000000000004,6999999.634014442,2263.7840301309993,0.0,-2.439553145992063,7545.946577219139,0.0,-8.126587328478049,-0.00262811993936107,0.0,0.0,0.0,0.0,36.77625,0.0,0.0,222.525,0.0,0.0,56.025,0.0,0.0
4.0,0.4,6999999.34942619,3018.3786747123136,0.0,-3.252211878839868,7545.946314407145,0.0,-8.123961284594252,-0.003503027682083687,0.0,0.0,0.0,0.0,60.57731249999999,0.0,0.0,253.49625,0.0,0.0,30.971250000000005,0.0,0.0
5.0,0.5,6999998.983585196,3772.9732886378897,0.0,-4.064608007299293,7545.945964104377,0.0,-8.121336560456879,-0.004377370051409406,0.0,0.0,0.0,0.0,86.130590625,0.0,0.0,257.5693125,0.0,0.0,4.07306250000002,0.0,0.0
6.0,0.6000000000000001,6999998.536517712,4527.567863161477,0.0,-4.876741663344982,7545.945526367372,0.0,-8.118713155152415,-0.005251147493779392,0.0,0.0,0.0,0.0,110.79314578125,0.0,0.0,235.68179062500002,0.0,0.0,-21.887521875000022,0.0,0.0
7.0,0.7000000000000001,6999998.00824998,5282.162389542477,0.0,-5.688612978860223,7545.945001252622,0.0,-8.116091067768169,-0.0061243604552088165,0.0,0.0,0.0,0.0,132.1432586015625,0.0,0.0,191.32046578125002,0.0,0.0,-44.36132484375,0.0,0.0
8.0,0.8,6999997.398808227,6036.756859045938,0.0,-6.50022208563704,7545.944388816577,0.0,-8.113470297392238,-0.006997009381287333,0.0,0.0,0.0,0.0,148.21153992070313,0.0,0.0,130.04516060156251,0.0,0.0,-61.27530517968752,0.0,0.0
9.0,0.9,6999996.708218667,6791.351262942549,0.0,-7.311569115376264,7545.943689115639,0.0,-8.110850843113528,-0.007869094717179542,0.0,0.0,0.0,0.0,157.65525318181642,0.0,0.0,58.82910462070315,0.0,0.0,-71.21605598085937,0.0,0.0
10.0,1.0,6999995.936507501,7545.945592508639,0.0,-8.122654199687616,7545.942902206168,0.0,-8.108232704021743,-0.008740616907625502,0.0,0.0,0.0,0.0,159.8612554616924,0.0,0.0,-14.709059023183599,0.0,0.0,-73.53816364388676,0.0,0.0
11.0,1.1,6999995.083700918,8300.53983902617,0.0,-8.933477470089791,7545.942028144477,0.0,-8.105615879207392,-0.009611576396941187,0.0,0.0,0.0,0.0,154.97083208140535,0.0,0.0,-83.0994085825576,0.0,0.0,-68.390349559374,0.0,0.0
12.0,1.2000000000000002,6999994.1498250915,9055.133993782736,0.0,-9.74403905801053,7545.9410669868375,0.0,-8.103000367761778,-0.010481973629018971,0.0,0.0,0.0,0.0,143.82784666199208,0.0,0.0,-139.76029980570723,0.0,0.0,-56.66089122314965,0.0,0.0
13.0,1.3,6999993.134906184,9809.728048071553,0.0,-10.554339094786709,7545.940018789474,0.0,-8.100386168777014,-0.011351809047328116,0.0,0.0,0.0,0.0,127.8592258473503,0.0,0.0,-179.6121164871285,0.0,0.0,-39.851816681421255,0.0,0.0
14.0,1.4000000000000001,6999992.038970344,10564.321993191455,0.0,-11.36437771166441,7545.93888360857,0.0,-8.097773281345994,-0.012221083094915224,0.0,0.0,0.0,0.0,108.90311348870557,0.0,0.0,-199.51013068576606,0.0,0.0,-19.89801419863757,0.0,0.0
15.0,1.5,6999990.862043706,11318.915820446897,0.0,-12.17415503979901,7545.93766150026,0.0,-8.09516170456243,-0.013089796214404752,0.0,0.0,0.0,0.0,89.00449539912253,0.0,0.0,-198.4622311058949,0.0,0.0,1.0478995798711566,0.0,0.0
16.0,1.6,6999989.6041523935,12073.509521147942,0.0,-12.983671210255253,7545.936352520639,0.0,-8.092551437520813,-0.013957948847999445,0.0,0.0,0.0,0.0,70.2003586741064,0.0,0.0,-177.62050339442806,0.0,0.0,20.841727711466817,0.0,0.0
17.0,1.7000000000000002,6999988.265322516,12828.103086610261,0.0,-13.792926354007333,7545.934956725754,0.0,-8.089942479316436,-0.014825541437480848,0.0,0.0,0.0,0.0,54.31639291793039,0.0,0.0,-140.05881172909153,0.0,0.0,37.561691665336525,0.0,0.0
18.0,1.8,6999986.845580168,13582.69650815513,0.0,-14.601920601938977,7545.93347417161,0.0,-8.087334829045393,-0.01569257442420978,0.0,0.0,0.0,0.0,42.79498615777018,0.0,0.0,-90.36932347411283,0.0,0.0,49.68948825497869,0.0,0.0
19.0,1.9000000000000001,6999985.344951434,14337.28977710942,0.0,-15.410654084843516,7545.931904914168,0.0,-8.084728485804561,-0.016559048249126764,0.0,0.0,0.0,0.0,36.57015111984096,0.0,0.0,-34.127377284471685,0.0,0.0,56.241946189641155,0.0,0.0
20.0,2.0,6999983.763462383,15091.882884805595,0.0,-16.219126933423972,7545.930249009343,0.0,-8.08212344869162,-0.01742496335275257,0.0,0.0,0.0,0.0,35.999542721824085,0.0,0.0,22.71520932413447,0.0,0.0,56.842586608606155,0.0,0.0
21.0,2.1,6999982.101139072,15846.475822581713,0.0,-17.027339278293134,7545.928506513008,0.0,-8.079519716805036,-0.01829032017518863,0.0,0.0,0.0,0.0,40.85751047152567,0.0,0.0,74.44414566989701,0.0,0.0,51.72893634576255,0.0,0.0
22.0,2.2,6999980.358007546,16601.068581781412,0.0,-17.835291249973636,7545.92667748099,0.0,-8.076917289244072,-0.019155119156117537,0.0,0.0,0.0,0.0,50.386828786589604,0.0,0.0,116.14222063138153,0.0,0.0,41.69807496148452,0.0,0.0
23.0,2.3000000000000003,6999978.534093834,17355.661153753914,0.0,-18.642982978898043,7545.924761969075,0.0,-8.074316165108767,-0.020019360734803503,0.0,0.0,0.0,0.0,63.400998307241366,0.0,0.0,144.14116978165387,0.0,0.0,27.998949150272338,0.0,0.0
24.0,2.4000000000000004,6999976.629423955,18110.253529854017,0.0,-19.45041459540892,7545.922760033001,0.0,-8.071716343499974,-0.020883045350092878,0.0,0.0,0.0,0.0,78.42435952113641,0.0,0.0,156.32605449624702,0.0,0.0,12.184884714593167,0.0,0.0
25.0,2.5,6999974.644023914,18864.84570144209,0.0,-20.257586229758918,7545.920671728466,0.0,-8.069117823519312,-0.021746173440414535,0.0,0.0,0.0,0.0,93.85411672222307,0.0,0.0,152.269089525486,0.0,0.0,-4.056964970761028,0.0,0.0
26.0,2.6,6999972.577919702,19619.437659884068,0.0,-21.06449801211085,7545.918497111122,0.0,-8.066520604269199,-0.022608745443780418,0.0,0.0,0.0,0.0,108.12697439103309,0.0,0.0,133.18806385071423,0.0,0.0,-19.08102567477177,0.0,0.0
27.0,2.7,6999970.431137298,20374.029396551454,0.0,-21.87115007253777,7545.916236236578,0.0,-8.06392468485284,-0.023470761797785972,0.0,0.0,0.0,0.0,119.8734917372993,0.0,0.0,101.7422830746098,0.0,0.0,-31.445780776104424,0.0,0.0
28.0,2.8000000000000003,6999968.203702668,21128.6209028213,0.0,-22.677542541023055,7545.913889160398,0.0,-8.061330064374228,-0.024332222939610636,0.0,0.0,0.0,0.0,128.04533404252226,0.0,0.0,61.69456302984941,0.0,0.0,-40.047720044760396,0.0,0.0
29.0,2.9000000000000004,6999965.895641764,21883.212170076225,0.0,-23.48367554746048,7545.911455938104,0.0,-8.058736741938135,-0.025193129306018282,0.0,0.0,0.0,0.0,132.00405082823184,0.0,0.0,17.47977268434235,0.0,0.0,-44.21479034550707,0.0,0.0
