iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,7000000.0,0.0,0.0,0.0,7545.946840144431,0.0,-8.134473387755103,0.0,0.0,0.0,0.0,0.0
1.0,10.0,6999593.276330613,75459.4684014443,0.0,-81.34473387755101,7545.946840144431,0.0,-7.877878571173545,-0.08492786732653108,0.0,0.0,0.0,0.0
2.0,20.0,6998385.935063278,150914.69040952227,0.0,-160.12351958928645,7545.097561471166,0.0,-7.633658600464966,-0.16461384597400616,0.0,0.0,0.0,0.0
3.0,30.0,6996403.016937362,226357.43533193524,0.0,-236.4601055939361,7543.451423011426,0.0,-7.401005156748454,-0.23944769077830352,0.0,0.0,0.0,0.0
4.0,40.0,6993668.365623585,301779.97717751056,0.0,-310.4701571614206,7541.056946103643,0.0,-7.179175948490854,-0.3097847139189771,0.0,0.0,0.0,0.0
5.0,50.0,6990204.705254546,377175.05740285106,0.0,-382.26191664632915,7537.959098964453,0.0,-6.967488272571439,-0.3759493319538097,0.0,0.0,0.0,0.0
6.0,60.0,6986033.711674455,452535.8509258979,0.0,-451.93679937204354,7534.199605644915,0.0,-6.765313301799217,-0.43823819611603254,0.0,0.0,0.0,0.0
7.0,70.0,6981176.078015644,527855.9350725412,0.0,-519.5899323900358,7529.8172236837545,0.0,-6.572071006172852,-0.4969229607674613,0.0,0.0,0.0,0.0
8.0,80.0,6975651.5751414355,603129.2611613404,0.0,-585.3106424517642,7524.84799407608,0.0,-6.3872256283320015,-0.5522527369077418,0.0,0.0,0.0,0.0
9.0,90.0,6969479.107435501,678350.1284652558,0.0,-649.1828987350842,7519.325466707002,0.0,-6.210281644758034,-0.6044562709188118,0.0,0.0,0.0,0.0
10.0,100.0,6962676.764365912,753513.1603187799,0.0,-711.2857151826646,7513.280903997814,0.0,-6.0407801536875905,-0.6537438830553887,0.0,0.0,0.0,0.0
11.0,110.0,6955261.868206401,828613.2821646052,0.0,-771.6935167195405,7506.74346516726,0.0,-5.878295638688838,-0.7003091953982628,0.0,0.0,0.0,0.0
12.0,120.0,6947251.0182572715,903645.701356508,0.0,-830.4764731064289,7499.740373213278,0.0,-5.722433063649612,-0.7443306749213288,0.0,0.0,0.0,0.0
13.0,130.0,6938660.131873025,978605.8885548947,0.0,-887.700803742925,7492.297066464064,0.0,-5.5728252607311815,-0.7859730138658418,0.0,0.0,0.0,0.0
14.0,140.0,6929504.482572559,1053489.560568842,0.0,-943.4290563502368,7484.437336325406,0.0,-5.429130577809074,-0.825388366667682,0.0,0.0,0.0,0.0
15.0,150.0,6919798.735480166,1128292.6645137628,0.0,-997.7203621283276,7476.183452658729,0.0,-5.2910307561845205,-0.862717460164028,0.0,0.0,0.0,0.0
16.0,160.0,6909556.980321074,1203011.3631673418,0.0,-1050.6306696901727,7467.556278057089,0.0,-5.158229013015668,-0.8980905916473039,0.0,0.0,0.0,0.0
17.0,170.0,6898792.762173521,1277642.0214183303,0.0,-1102.2129598203294,7458.575372140616,0.0,-5.030448306077595,-0.9316285274805789,0.0,0.0,0.0,0.0
18.0,180.0,6887519.110160015,1352181.1937133623,0.0,-1152.5174428811054,7449.259086865811,0.0,-4.907429761190122,-0.9634433133930536,0.0,0.0,0.0,0.0
19.0,190.0,6875748.564243144,1426625.6124163507,0.0,-1201.5917404930065,7439.62465373188,0.0,-4.788931245016349,-0.9936390061979072,0.0,0.0,0.0,0.0
20.0,200.0,6863493.200275963,1500972.1770033597,0.0,-1249.48105294317,7429.688263669901,0.0,-4.6747260679859,-1.022312335484944,0.0,0.0,0.0,0.0
21.0,210.0,6850764.6534431325,1575217.9440232844,0.0,-1296.228313623029,7419.465140315052,0.0,-4.56460180388039,-1.0495533028097372,0.0,0.0,0.0,0.0
22.0,220.0,6837574.140216708,1649360.1177612944,0.0,-1341.874331661833,7408.969607286955,0.0,-4.4583592141723765,-1.0754457250062732,0.0,0.0,0.0,0.0
23.0,230.0,6823932.478939381,1723396.0415479136,0.0,-1386.4579238035567,7398.215150036892,0.0,-4.355811266565497,-1.1000677274719362,0.0,0.0,0.0,0.0
24.0,240.0,6809850.1091380175,1797323.189661909,0.0,-1430.0160364692117,7387.214472762173,0.0,-4.256782238369703,-1.1234921925955907,0.0,0.0,0.0,0.0
25.0,250.0,6795337.109661407,1871139.159779901,0.0,-1472.5838588529086,7375.979550836217,0.0,-4.161106896384989,-1.1457871679075704,0.0,0.0,0.0,0.0
26.0,260.0,6780403.2157280585,1944841.6659298677,0.0,-1514.1949278167585,7364.521679157141,0.0,-4.068629745879291,-1.1670162380126297,0.0,0.0,0.0,0.0
27.0,270.0,6765057.834962597,2018428.5319095384,0.0,-1554.8812252755515,7352.851516777015,0.0,-3.9792043420484844,-1.1872388639133324,0.0,0.0,0.0,0.0
28.0,280.0,6749310.062492739,2091897.6851341128,0.0,-1594.6732686960363,7340.979128137881,0.0,-3.8926926580530288,-1.2065106929332818,0.0,0.0,0.0,0.0
29.0,290.0,6733168.695172876,2165247.150880845,0.0,-1633.6001952765666,7328.914021208549,0.0,-3.8089645043491442,-1.2248838420996224,0.0,0.0,0.0,0.0
30.0,300.0,6716642.244994893,2238475.046900825,0.0,-1671.689840320058,7316.665182787552,0.0,-3.727896994583278,-1.242407157536138,0.0,0.0,0.0,0.0
31.0,310.0,6699738.951741963,2311579.578370824,0.0,-1708.9688102658909,7304.241111212191,0.0,-3.649374053806153,-1.2591264521465126,0.0,0.0,0.0,0.0
