iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2260606108927651e-21,0.0,0.0,0.0,0.0,0.0
1.0,10.0,6.130303054463825e-20,0.0,0.0,1.226060610892765e-20,0.0,0.0,1.2260606108927651e-21,0.0,0.0,0.0,0.0,0.0
2.0,20.0,2.4342174469843406e-19,5.9289422164349835e-22,0.0,2.4163136721831522e-20,1.1857884432869967e-22,0.0,1.1902530612903874e-21,1.1857884432869966e-23,0.0,0.0,0.0,0.0
3.0,30.0,5.428554323913459e-19,2.930534827452268e-21,0.0,3.5723600816750847e-20,3.489492768330542e-22,0.0,1.1560464094919326e-21,2.3037043250435457e-23,0.0,0.0,0.0,0.0
4.0,40.0,9.562586203789359e-19,8.09924384369512e-21,0.0,4.695703678076715e-20,6.847925264155161e-22,0.0,1.12334359640163e-21,3.358432495824619e-23,0.0,0.0,0.0,0.0
5.0,50.0,1.4804317347219172e-18,1.712430561777532e-20,0.0,5.787758608782914e-20,1.1202198284005248e-21,0.0,1.0920549307061997e-21,4.3542730198500885e-23,0.0,0.0,0.0,0.0
6.0,60.0,2.112312466618931e-18,3.097409292598163e-20,0.0,6.849856029157363e-20,1.6497376332407382e-21,0.0,1.062097420374448e-21,5.295178048402133e-23,0.0,0.0,0.0,0.0
7.0,70.0,2.8489677782552107e-18,5.0563861587095055e-20,0.0,7.883250203568235e-20,2.268216098981947e-21,0.0,1.0333941744108719e-21,6.184784657412091e-23,0.0,0.0,0.0,0.0
8.0,80.0,3.687586491937151e-18,7.675924464942397e-20,0.0,8.889124070070576e-20,2.9708605134838372e-21,0.0,1.0058738665023414e-21,7.026444145018902e-23,0.0,0.0,0.0,0.0
9.0,90.0,4.625472411609449e-18,1.1037947389300324e-19,0.0,9.868594323375388e-20,3.753185335232015e-21,0.0,9.794702533048117e-22,7.823248217481777e-23,0.0,0.0,0.0,0.0
10.0,100.0,5.660037931000166e-18,1.5220035346255034e-19,0.0,1.0822716064438952e-19,4.610990578677404e-21,0.0,9.54121741063563e-22,8.578052434453886e-23,0.0,0.0,0.0,0.0
11.0,110.0,6.788798087197626e-18,2.0295700786715277e-19,0.0,1.1752487059510236e-19,5.540340302243085e-21,0.0,9.297709950712835e-22,9.29349723565681e-23,0.0,0.0,0.0,0.0
12.0,120.0,8.009365022506875e-18,2.633464243041342e-19,0.0,1.2658851646674753e-19,6.537542985153199e-21,0.0,9.063645871645173e-22,9.97202682910114e-23,0.0,0.0,0.0,0.0
13.0,130.0,9.319442821027261e-18,3.340298072482008e-19,0.0,1.3542704323732967e-19,7.599133603660118e-21,0.0,8.83852677058215e-22,1.0615906185069186e-22,0.0,0.0,0.0,0.0
14.0,140.0,1.0716822689592313e-17,4.1563476145939763e-19,0.0,1.4404893047568069e-19,8.721857238579252e-21,0.0,8.621887238351007e-22,1.1227236349191341e-22,0.0,0.0,0.0,0.0
15.0,150.0,1.2199378455566797e-17,5.087573179758596e-19,0.0,1.5246222271921598e-19,9.902654064713131e-21,0.0,8.413292243535304e-22,1.1807968261338794e-22,0.0,0.0,0.0,0.0
16.0,160.0,1.3765062356545196e-17,6.139638162450314e-19,0.0,1.6067455747646398e-19,1.1138645589121234e-20,0.0,8.212334757247991e-22,1.2359915244081032e-22,0.0,0.0,0.0,0.0
17.0,170.0,1.5411901099277194e-17,7.317926542885327e-19,0.0,1.686931910699357e-19,1.2427122019579033e-20,0.0,8.018633593471735e-22,1.2884764304577984e-22,0.0,0.0,0.0,0.0
18.0,180.0,1.7137992167190376e-17,8.627559176725935e-19,0.0,1.7652502251270078e-19,1.3765530657233117e-20,0.0,7.831831442765063e-22,1.3384086376540857e-22,0.0,0.0,0.0,0.0
19.0,190.0,1.8941500357715803e-17,1.0073408970518858e-18,0.0,1.8417661559238487e-19,1.5151465218625347e-20,0.0,7.651593079684076e-22,1.3859345613922293e-22,0.0,0.0,0.0,0.0
20.0,200.0,2.082065453227214e-17,1.1660115031556204e-18,0.0,1.9165421931888253e-19,1.658265600212157e-20,0.0,7.477603726497651e-22,1.4311907834962236e-22,0.0,0.0,0.0,0.0
21.0,210.0,2.2773744563249584e-17,1.3392095872787605e-18,0.0,1.9896378687660662e-19,1.8056960822506457e-20,0.0,7.309567557724079e-22,1.4743048203848875e-22,0.0,0.0,0.0,0.0
22.0,220.0,2.4799118463674284e-17,1.5273561746174863e-18,0.0,2.0611099320833336e-19,1.957235664523872e-20,0.0,7.147206331726741e-22,1.5153958227322624e-22,0.0,0.0,0.0,0.0
23.0,230.0,2.6895179686443157e-17,1.7308526171373028e-18,0.0,2.1310125134544143e-19,2.1126931858724555e-20,0.0,6.990258137108076e-22,1.554575213485836e-22,0.0,0.0,0.0,0.0
24.0,240.0,2.906038458111238e-17,1.950081672076268e-18,0.0,2.199397275884034e-19,2.271887912906848e-20,0.0,6.838476242961985e-22,1.591947270343926e-22,0.0,0.0,0.0,0.0
25.0,250.0,3.1293239997212457e-17,2.1854085116575735e-18,0.0,2.2663135563161257e-19,2.4346488787192637e-20,0.0,6.691628043209159e-22,1.6276096581241572e-22,0.0,0.0,0.0,0.0
26.0,260.0,3.359230102395992e-17,2.4371816691088304e-18,0.0,2.3318084971788003e-19,2.6008142703058718e-20,0.0,6.549494086267484e-22,1.6616539158660822e-22,0.0,0.0,0.0,0.0
27.0,270.0,3.5956168857049814e-17,2.705733925654378e-18,0.0,2.395927169000983e-19,2.770230860605079e-20,0.0,6.411867182218289e-22,1.6941659029920708e-22,0.0,0.0,0.0,0.0
